branch_id,branch_name,location,manager_name,opened_date,region,branch_type,contact_number
B001,Branch_1,Hyderabad,Manager_1,2005-02-09,East,Rural,+91-8274350418
B002,Branch_2,Mumbai,Manager_2,2017-05-03,South,Urban,+91-7935018220
B003,Branch_3,Mumbai,Manager_3,2006-06-28,South,Urban,+91-7251183830
B004,Branch_4,Hyderabad,Manager_4,2001-10-15,East,Urban,+91-9487560384
B005,Branch_5,Chennai,Manager_5,2019-03-08,West,Urban,+91-9328710672
B006,Branch_6,Delhi,Manager_6,2005-03-22,West,Urban,+91-7261810763
B007,Branch_7,Delhi,Manager_7,2019-06-08,East,Urban,+91-8346922426
B008,Branch_8,Delhi,Manager_8,2002-04-07,South,Urban,+91-7245522987
B009,Branch_9,Hyderabad,Manager_9,2008-07-10,South,Urban,+91-7215359682
B010,Branch_10,Mumbai,Manager_10,2006-03-27,West,Urban,+91-9509023674
B011,Branch_11,Hyderabad,Manager_11,2010-03-03,North,Rural,+91-9047791082
B012,Branch_12,Hyderabad,Manager_12,2014-04-04,North,Urban,+91-9159725924
B013,Branch_13,Bangalore,Manager_13,2018-09-16,North,Urban,+91-9281169403
B014,Branch_14,Mumbai,Manager_14,2008-03-07,South,Rural,+91-7676168421
B015,Branch_15,Bangalore,Manager_15,2003-08-25,South,Rural,+91-7244295904
B016,Branch_16,Kolkata,Manager_16,2008-04-20,West,Urban,+91-9181106786
B017,Branch_17,Mumbai,Manager_17,2007-12-20,North,Urban,+91-7344076115
B018,Branch_18,Mumbai,Manager_18,2004-09-12,West,Rural,+91-7798112150
B019,Branch_19,Mumbai,Manager_19,2015-01-12,West,Urban,+91-7294296873
B020,Branch_20,Delhi,Manager_20,2005-12-27,West,Rural,+91-9555656321
B021,Branch_21,Delhi,Manager_21,2015-09-28,East,Rural,+91-7291889680
B022,Branch_22,Bangalore,Manager_22,2021-01-03,North,Urban,+91-9900015820
B023,Branch_23,Bangalore,Manager_23,2015-05-01,North,Urban,+91-8010193046
B024,Branch_24,Mumbai,Manager_24,2014-07-14,East,Urban,+91-8734202799
B025,Branch_25,Bangalore,Manager_25,2001-08-07,East,Rural,+91-7514909066
B026,Branch_26,Delhi,Manager_26,2013-08-30,North,Rural,+91-9446737272
B027,Branch_27,Hyderabad,Manager_27,2014-03-29,East,Rural,+91-8057486868
B028,Branch_28,Hyderabad,Manager_28,2003-11-02,West,Rural,+91-9486438403
B029,Branch_29,Hyderabad,Manager_29,2011-12-24,South,Rural,+91-9553440342
B030,Branch_30,Bangalore,Manager_30,2016-05-09,West,Urban,+91-7170689150
B031,Branch_31,Kolkata,Manager_31,2005-06-28,North,Urban,+91-9660223333
B032,Branch_32,Delhi,Manager_32,2003-08-31,East,Urban,+91-7352116052
B033,Branch_33,Kolkata,Manager_33,2010-05-14,South,Rural,+91-8800557283
B034,Branch_34,Bangalore,Manager_34,2008-07-05,North,Rural,+91-9823396242
B035,Branch_35,Chennai,Manager_35,2006-01-20,East,Urban,+91-9506853388
B036,Branch_36,Mumbai,Manager_36,2020-10-02,South,Urban,+91-9427631155
B037,Branch_37,Delhi,Manager_37,2014-05-09,South,Urban,+91-9245334677
B038,Branch_38,Hyderabad,Manager_38,2015-06-08,East,Urban,+91-8358798143
B039,Branch_39,Kolkata,Manager_39,2012-06-28,South,Rural,+91-8119980130
B040,Branch_40,Chennai,Manager_40,2004-12-04,North,Urban,+91-7877286584
B041,Branch_41,Chennai,Manager_41,2015-05-10,East,Rural,+91-9876451163
B042,Branch_42,Delhi,Manager_42,2007-04-10,West,Urban,+91-8349409434
B043,Branch_43,Delhi,Manager_43,2018-11-26,North,Rural,+91-8025148381
B044,Branch_44,Chennai,Manager_44,2017-03-26,North,Rural,+91-8140805649
B045,Branch_45,Mumbai,Manager_45,2017-05-27,East,Urban,+91-8699887270
B046,Branch_46,Mumbai,Manager_46,2001-04-03,East,Urban,+91-7562117925
B047,Branch_47,Kolkata,Manager_47,2005-02-19,South,Rural,+91-9884887548
B048,Branch_48,Mumbai,Manager_48,2018-06-07,North,Urban,+91-9772404776
B049,Branch_49,Chennai,Manager_49,2000-09-19,South,Urban,+91-8288477634
B050,Branch_50,Chennai,Manager_50,2018-01-20,North,Urban,+91-8963764597
B051,Branch_51,Bangalore,Manager_51,2007-01-28,North,Urban,+91-8357970698
B052,Branch_52,Chennai,Manager_52,2008-12-30,West,Urban,+91-7311570307
B053,Branch_53,Mumbai,Manager_53,2006-01-02,North,Urban,+91-7040009587
B054,Branch_54,Hyderabad,Manager_54,2001-06-26,South,Rural,+91-8968321319
B055,Branch_55,Kolkata,Manager_55,2004-09-24,South,Rural,+91-9667858669
B056,Branch_56,Bangalore,Manager_56,2020-06-24,West,Rural,+91-9418039268
B057,Branch_57,Mumbai,Manager_57,2021-02-23,South,Urban,+91-7429416213
B058,Branch_58,Kolkata,Manager_58,2012-09-20,East,Rural,+91-7314652384
B059,Branch_59,Mumbai,Manager_59,2019-08-28,West,Urban,+91-9309122187
B060,Branch_60,Bangalore,Manager_60,2016-02-07,South,Urban,+91-7915490795
B061,Branch_61,Chennai,Manager_61,2007-01-21,South,Rural,+91-9172758220
B062,Branch_62,Hyderabad,Manager_62,2004-10-07,East,Urban,+91-8139027119
B063,Branch_63,Bangalore,Manager_63,2014-09-13,West,Rural,+91-7568896616
B064,Branch_64,Chennai,Manager_64,2011-03-13,East,Rural,+91-8498981529
B065,Branch_65,Bangalore,Manager_65,2008-11-15,West,Rural,+91-7295456419
B066,Branch_66,Delhi,Manager_66,2019-11-04,West,Rural,+91-8049193572
B067,Branch_67,Hyderabad,Manager_67,2020-07-05,North,Rural,+91-8587106770
B068,Branch_68,Mumbai,Manager_68,2014-06-02,South,Rural,+91-8224011538
B069,Branch_69,Mumbai,Manager_69,2010-04-16,South,Urban,+91-7677517496
B070,Branch_70,Hyderabad,Manager_70,2003-03-16,North,Urban,+91-8881988384
